GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12
0400000US01,01,Alabama,4849377,,2347969,5243,96696,3024,69481,3786,35092,3429,34232,2971,106265,4380,149533,2837,150052,2685
0400000US02,02,Alaska,736732,,385582,1999,14719,948,11840,1587,6167,1165,8413,1620,22074,1770,33536,1269,27838,1083
0400000US04,04,Arizona,6731484,,3342946,2452,140181,2231,95898,1814,55876,4215,50524,4109,144096,4988,234376,2022,227982,1575
0400000US05,05,Arkansas,2966369,,1456778,4252,62177,2949,43028,2447,22820,2486,23296,2547,59973,3605,94924,2568,94212,2818
0400000US06,06,California,38802500,,19264457,4495,794337,2436,555564,2886,308467,8563,301568,8749,898523,11661,1505575,3250,1430530,2695
0400000US08,08,Colorado,5355866,,2692599,3357,102639,2334,73021,2305,40051,2872,38576,3639,123067,3416,207019,2414,205499,2056
0400000US09,09,Connecticut,3596677,,1754116,1816,75133,1091,52650,982,25171,2229,26424,2403,76311,3041,112977,1480,107508,1013
0400000US10,10,Delaware,935614,,454005,925,16942,440,14151,750,7203,1363,6709,1260,18852,1625,30690,565,29313,659
0400000US11,11,District of Columbia,658893,,312633,686,7708,159,10006,1185,5146,1111,6083,1496,16105,1743,35496,3,34549,177
0400000US12,12,Florida,19893297,,9722228,6892,362984,3710,252667,4869,142725,7206,134102,6980,394186,9035,653012,4198,614806,4118
0400000US13,13,Georgia,10097343,,4921939,6161,211865,3809,160313,5531,81888,5334,76127,4852,211396,7151,337015,4189,336274,4489
0400000US15,15,Hawaii,1419561,,717313,1553,23940,811,17529,948,12838,1722,12036,1546,33935,1902,59642,799,52197,1138
0400000US16,16,Idaho,1634464,,817050,2782,37185,1451,23622,1878,12522,1873,10942,2006,35311,3004,52546,1337,53051,1308
0400000US17,17,Illinois,12880580,,6320605,4324,262818,1903,181690,2673,93309,4682,93648,4843,270629,6231,445834,2639,447703,2460
0400000US18,18,Indiana,6596855,,3243979,5121,138686,2066,99034,2903,50489,3951,53550,3186,138189,4538,208421,2242,210737,2043
0400000US19,19,Iowa,3107126,,1544801,3400,62261,1581,47596,2118,21703,2040,23686,2463,70157,3271,96912,1858,101316,1563
0400000US20,20,Kansas,2904021,,1444945,3648,61115,1881,45417,2777,22137,2365,23082,2888,65439,3573,97947,2236,99952,1840
0400000US21,21,Kentucky,4413457,,2174158,3527,89578,2118,60138,2846,30884,2738,35593,2846,94243,3599,139346,2517,143629,2668
0400000US22,22,Louisiana,4649676,,2272116,3972,93164,2431,66227,3689,34112,3337,39652,3065,100817,4451,164515,3347,162491,3221
0400000US23,23,Maine,1330089,,647622,1797,24650,696,16833,725,8338,1365,8064,1178,23712,1694,37999,882,36570,720
0400000US24,24,Maryland,5976407,,2896033,2845,117263,1709,81878,2037,43792,3252,39094,2754,121084,4090,210952,2552,200476,1733
0400000US25,25,Massachusetts,6745408,,3269679,2194,127596,1122,102984,1559,48344,3829,53308,3181,145625,4831,239140,1658,220496,1785
0400000US26,26,Michigan,9909877,,4865257,3056,206153,1592,139674,2092,79284,4207,70130,3709,222787,5229,306200,2340,295021,2148
0400000US27,27,Minnesota,5457173,,2712823,3068,110659,1661,72216,1597,35518,2866,36281,3117,110729,3526,186734,1706,195367,1786
0400000US28,28,Mississippi,2994079,,1457828,3775,61304,2223,51902,3448,21286,2751,24976,2688,60249,3636,96468,2857,92278,3271
0400000US29,29,Missouri,6063589,,2970513,3838,119643,2182,81643,2343,46834,3410,43050,3935,128662,5066,198255,2458,197903,2405
0400000US30,30,Montana,1023579,,513409,1733,19295,825,15024,1267,8361,1568,8446,1504,20790,2101,31916,1305,34073,1366
0400000US31,31,Nebraska,1881503,,936197,2174,38349,1109,28304,1549,13101,1334,14410,1843,41501,2533,62471,1407,66144,1208
0400000US32,32,Nevada,2839099,,1426744,2030,57147,1151,35486,1263,21072,2305,16852,1869,58708,2614,103791,1249,103305,1528
0400000US33,33,New Hampshire,1326813,,654814,1601,26878,934,19909,1111,9386,1525,9515,1569,26977,1943,39894,952,37766,812
0400000US34,34,New Jersey,8938175,,4363391,2659,183423,1471,116075,1788,58647,3689,60779,4286,175678,4287,290645,1641,288203,1653
0400000US35,35,New Mexico,2085572,,1032779,2949,42398,1778,31962,2390,14728,2245,15640,1942,48763,3120,71223,2160,70786,2202
0400000US36,36,New York,19746227,,9574309,3968,369832,1851,274959,3251,152681,6362,146620,5653,424999,7078,736776,2555,678671,2175
0400000US37,37,North Carolina,9943964,,4842403,6467,192893,3235,145347,4263,85012,5168,78759,4748,204640,6059,318268,3859,311546,3966
0400000US38,38,North Dakota,739482,,376324,2104,13394,838,13288,1371,5198,1146,9393,1712,22536,2521,30782,1347,27474,1120
0400000US39,39,Ohio,11594163,,5676586,4591,237218,2334,161173,2682,85752,4618,79991,4257,231420,6645,375720,2650,358938,3183
0400000US40,40,Oklahoma,3878051,,1920562,2531,80622,1652,58911,2404,29554,2746,28990,2155,85541,3997,132627,1992,132767,1908
0400000US41,41,Oregon,3970239,,1964293,3573,76321,1757,51756,1992,29242,3541,26295,2569,79203,3689,134531,2042,136178,2059
0400000US42,42,Pennsylvania,12787209,,6253250,3783,244845,1815,184652,2862,92389,4700,87553,4534,259161,6116,427490,2447,396624,2465
0400000US44,44,Rhode Island,1055173,,511650,1387,20183,696,17246,865,9413,1492,7110,1144,24118,1725,36749,631,33005,543
0400000US45,45,South Carolina,4832482,,2351359,4607,91425,2461,72803,3483,42337,2976,38703,3682,99704,4769,156233,2981,148362,3400
0400000US46,46,South Dakota,853175,,427381,2338,17608,904,13124,1031,6097,1075,6337,1329,18714,1859,28596,1007,29227,1064
0400000US47,47,Tennessee,6549352,,3190199,4846,128638,2517,90838,3117,50932,3535,47593,4107,129163,5024,213945,2509,207035,2636
0400000US48,48,Texas,26956958,,13384317,8322,591851,4928,404720,6167,214193,9242,211247,8576,592182,9434,997311,5235,985834,4301
0400000US49,49,Utah,2942902,,1479527,2281,72825,1166,43610,1324,20526,2039,23350,2127,79195,3085,106474,1223,114958,1236
0400000US50,50,Vermont,626562,,308516,1131,11540,484,10551,648,5363,820,4473,823,13721,1192,18324,705,17896,528
0400000US51,51,Virginia,8326289,,4092671,5531,157367,2488,125933,4227,61395,4146,65574,4245,177115,6139,298634,4312,290769,3969
0400000US53,53,Washington,7061530,,3529597,3659,135705,1924,93844,3173,50561,4197,50949,4441,156394,5306,264343,2592,258417,2383
0400000US54,54,West Virginia,1850326,,914686,2605,33836,1251,25195,1641,13987,2330,13457,1685,35450,2473,55581,1555,55923,993
0400000US55,55,Wisconsin,5757564,,2857982,2972,113806,1466,80600,1593,40788,2823,43969,2946,119437,4280,181603,2123,191682,2304
0400000US56,56,Wyoming,584153,,297181,2369,11946,1169,7761,1431,4139,903,6072,1081,12696,1464,21626,1506,22211,1093
0400000US72,72,Puerto Rico,3548397,,1704416,3135,76457,2039,54383,2740,31360,2917,30689,3012,76738,3765,102210,1751,103821,2162
