GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12
0400000US01,01,Alabama,4627851,,2238295,5238,100758,2353,71390,2716,36447,3557,31807,2904,93975,4076,150937,2782,138364,2515
0400000US02,02,Alaska,683478,,357280,1766,19173,1229,11445,1145,7298,1460,7270,1267,19937,2235,27396,1560,22919,1361
0400000US04,04,Arizona,6338755,,3173292,2602,139270,1386,86261,2186,48527,3986,47738,3539,128283,5396,253641,2028,228001,1919
0400000US05,05,Arkansas,2834797,,1387235,3965,60793,2175,42474,2702,22430,2574,20238,2160,54044,3112,95572,2616,88049,3104
0400000US06,06,California,36553215,,18281748,4844,852727,2906,573361,4855,312284,9065,283873,10245,830164,12715,1390430,3942,1323195,3933
0400000US08,08,Colorado,4861515,,2451108,3586,101503,2094,68581,1991,36438,4046,41465,4031,100739,4212,196564,2573,181566,2258
0400000US09,09,Connecticut,3502309,,1706150,1888,76643,832,52233,1455,28912,2463,25379,2266,60040,2843,101652,1375,101253,1109
0400000US10,10,Delaware,864764,,418659,993,17916,595,13941,950,6420,1260,6017,933,16923,1552,26586,774,24352,540
0400000US11,11,District of Columbia,588292,,277076,806,9957,460,9060,434,3943,1062,4583,1619,16329,1799,28260,811,23739,2
0400000US12,12,Florida,18251243,,8964955,6749,369325,3092,248425,4884,126634,5695,130342,7349,339498,8654,594578,4751,551831,3941
0400000US13,13,Georgia,9544750,,4698253,6939,214836,3120,160623,5123,69248,4765,68570,4916,197034,6949,337504,4429,328151,4820
0400000US15,15,Hawaii,1283388,,645483,1826,25129,889,17386,1140,9154,1298,11767,1893,29210,1758,48307,1606,45341,1906
0400000US16,16,Idaho,1499402,,752500,2343,34451,1125,21316,1369,9304,1766,10077,1773,33915,2344,58531,1454,50280,1439
0400000US17,17,Illinois,12852548,,6332498,3001,283336,1870,197934,2449,105566,4814,95114,4804,269851,5934,456104,2502,443147,2547
0400000US18,18,Indiana,6345289,,3125322,3069,141950,1910,99227,2740,48090,3076,47516,3537,118908,4867,221889,2546,203211,2154
0400000US19,19,Iowa,2988047,,1474159,2908,65119,1528,44915,1627,22879,2275,21516,2352,63438,2685,99338,1771,88117,1761
0400000US20,20,Kansas,2775997,,1373442,2984,62140,1513,45477,2297,21151,2262,21029,2532,62505,3087,96829,2149,85429,1689
0400000US21,21,Kentucky,4241474,,2075382,4380,92350,1849,64562,3202,28620,2925,33823,2855,78839,3543,150075,2246,134415,1959
0400000US22,22,Louisiana,4293204,,2088309,4846,98362,2144,69992,3251,32079,2931,35435,3330,97463,4283,155036,3264,122213,2392
0400000US23,23,Maine,1317207,,642050,1540,28579,622,19032,1120,9201,1302,7372,1170,23562,1808,36451,801,35126,522
0400000US24,24,Maryland,5618344,,2715986,2619,126398,1452,85357,2103,42421,2899,35157,3038,113359,3789,179680,2457,170256,2445
0400000US25,25,Massachusetts,6449755,,3127452,2542,135260,1261,102140,3182,47498,3264,50447,3974,124828,4942,204147,2293,200647,1855
0400000US26,26,Michigan,10071822,,4958632,3335,235134,1729,149720,2718,79406,4417,75349,3987,193220,5644,323911,2302,305190,2377
0400000US27,27,Minnesota,5197621,,2589986,2429,116845,1278,78065,2177,36165,2639,31850,2782,113674,3961,184348,1954,164209,1870
