GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12
0400000US01,01,Alabama,4442558,,2142901,3564,94595,1927,57391,2065,36060,3419,29512,2795,86800,4199,143348,3037,137910,2452
0400000US02,02,Alaska,641724,,325699,1891,16537,718,10919,813,5169,1106,4340,963,14737,1248,18377,939,19077,1049
0400000US04,04,Arizona,5829839,,2902933,2476,128401,1248,75699,2118,35924,3126,39485,3553,130485,4369,220354,1990,211401,1759
0400000US05,05,Arkansas,2701431,,1314810,3291,60015,1567,39800,2601,20538,2430,14638,2093,51761,2812,90709,2161,83371,2086
0400000US06,06,California,35278768,,17497507,4744,821400,2998,466358,3417,245368,9112,235261,9211,744899,9824,1256603,3001,1297868,3720
0400000US08,08,Colorado,4562244,,2283293,3084,96299,1880,57315,1777,30479,3291,30054,3078,99190,4317,181154,1993,186454,2236
0400000US09,09,Connecticut,3394751,,1645607,1440,76847,867,37874,776,19939,2546,17712,2472,58077,3057,93894,888,98743,853
0400000US10,10,Delaware,818587,,396855,962,17573,553,9502,752,5076,1196,5174,1032,17290,1567,26335,632,25292,435
0400000US11,11,District of Columbia,515118,,242560,593,7592,454,4050,768,1317,557,2658,1197,8183,1008,26529,430,22157,460
0400000US12,12,Florida,17382511,,8466292,6005,359740,3650,209696,3436,107119,5333,113645,6343,324058,8651,505915,3940,527931,3810
0400000US13,13,Georgia,8821142,,4321977,5778,199047,2973,113048,3963,60451,5065,61712,4114,185867,6981,322033,4776,334904,3518
0400000US15,15,Hawaii,1238158,,611556,1296,25685,860,14880,963,7330,1448,9036,1550,26214,1959,40055,1402,39484,886
0400000US16,16,Idaho,1395634,,695097,2096,33000,855,20707,1486,10572,2009,8515,1524,32507,2141,49020,1123,45259,1347
0400000US17,17,Illinois,12440351,,6090298,4022,276334,1788,153015,2790,86747,5784,82491,5716,252696,6616,433236,2355,442796,2034
0400000US18,18,Indiana,6093372,,2991900,3384,139791,1921,72666,2291,41425,3097,41919,3574,119811,4597,209030,2274,197874,2197
0400000US19,19,Iowa,2862541,,1409206,2180,61491,1241,37006,1800,18414,1759,20472,2037,61786,2836,96847,1623,85738,1518
0400000US20,20,Kansas,2662616,,1315990,2669,58759,1526,34120,1643,20011,2441,17782,1941,61625,3565,94746,1797,84057,1766
0400000US21,21,Kentucky,4058633,,1985312,3947,87587,1886,51134,2399,24742,2769,31231,2773,78936,4566,135439,2505,135649,1888
0400000US22,22,Louisiana,4389747,,2117460,3773,102397,1883,64643,2547,36765,3822,32069,2932,92688,4632,145100,2593,130755,2585
0400000US23,23,Maine,1283673,,626454,1337,28104,424,15832,625,6358,1081,8255,1418,24538,1616,34265,707,35550,609
0400000US24,24,Maryland,5461318,,2630426,2333,126128,1495,68017,1724,33271,3376,36005,3197,108012,3857,158957,1477,167149,1608
0400000US25,25,Massachusetts,6182860,,2998038,2931,131147,1475,65823,1669,38327,4097,36394,3668,110457,5422,204522,1783,209337,1804
0400000US26,26,Michigan,9865583,,4824431,3299,230765,1559,127763,2152,67827,4041,66977,4112,190815,5885,309154,2306,308818,2027
0400000US27,27,Minnesota,4989848,,2476815,3005,112206,1106,66583,1657,33808,2898,33528,2915,107416,3721,169970,1719,167329,1936
0400000US28,28,Mississippi,2824156,,1358126,3765,62617,2361,37115,2656,21613,2567,22210,3030,62689,4282,91700,3075,79365,2961
0400000US29,29,Missouri,5631910,,2746587,3310,125506,1824,72774,2071,40580,3626,40391,3725,115082,4313,182681,2146,177337,1824
0400000US30,30,Montana,910651,,452391,1782,20010,702,11522,785,4494,795,6654,1394,22095,1465,29673,979,26150,1052
0400000US31,31,Nebraska,1706976,,844899,2317,38843,923,21752,1033,11721,1739,11133,1714,42128,2300,59675,1656,55648,1189
0400000US32,32,Nevada,2381281,,1204079,2102,49468,1071,30179,1359,16001,2147,14745,2305,46503,3090,88488,1314,93413,1601
0400000US33,33,New Hampshire,1272486,,628494,1540,30020,770,14477,875,6808,1422,9116,1533,22307,1860,34637,1415,36758,923
0400000US34,34,New Jersey,8521427,,4138329,2559,190137,1371,105368,2420,50025,3417,47910,4022,153187,5093,237787,1780,273525,1710
0400000US35,35,New Mexico,1887200,,921347,3309,44674,1969,30587,2712,14063,2347,12721,2099,39766,3092,59274,2156,55852,2112
0400000US36,36,New York,18655275,,8993239,4063,401873,1756,215951,2100,122904,6096,113799,5535,353270,7760,618065,3026,613299,2175
0400000US37,37,North Carolina,8411041,,4112482,5628,183228,3673,100436,3705,50859,3933,52258,4060,158853,5546,296904,3768,304792,5095
0400000US38,38,North Dakota,609645,,303655,1293,13163,463,6895,658,4595,988,5530,1176,13737,1172,23835,698,17964,842
0400000US39,39,Ohio,11155606,,5423416,4034,250782,1650,135054,2270,75935,5080,67250,3678,225458,5498,349647,1775,348053,2271
0400000US40,40,Oklahoma,3433496,,1680757,3504,72198,1661,47101,2189,25459,2852,24458,2853,76920,3380,117593,2480,110226,1821
0400000US41,41,Oregon,3560109,,1760453,2500,74833,1433,43852,1921,26143,3236,24318,2470,72111,3410,124020,1843,127238,1792
0400000US42,42,Pennsylvania,11979147,,5799557,3137,264747,1579,134860,1963,78710,5170,77391,4680,216902,6372,352471,2173,350661,2533
0400000US44,44,Rhode Island,1032662,,497891,1285,22323,578,9363,884,6121,1652,6576,1296,21044,1802,35727,754,30670,952
0400000US45,45,South Carolina,4113961,,1986328,3362,90345,1706,49237,2356,26750,2753,27530,2759,86414,3998,131737,2351,132475,2841
