GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12
0400000US01,01,Alabama,4802740,,2324413,5329,100841,1890,72928,3058,36549,3429,35868,3408,99386,4525,153100,3289,145217,2660
0400000US02,02,Alaska,722718,,372916,1425,15011,789,10360,1133,7715,1409,7243,1433,17620,1879,29825,1052,25798,1019
0400000US04,04,Arizona,6482505,,3228514,4431,137915,2038,95272,2848,55041,4687,49852,3965,136937,5650,227982,1970,216278,2367
0400000US05,05,Arkansas,2937979,,1447850,3826,60989,2121,41886,2461,26375,2895,22500,2506,53492,3624,96120,2371,95101,2771
0400000US06,06,California,37691912,,18750692,4823,843715,2273,580799,4173,323584,10168,309438,9016,854581,11467,1427525,3480,1340626,3533
0400000US08,08,Colorado,5116796,,2569136,4217,103218,2197,73650,1829,35645,3669,37341,3588,115028,5028,194171,2011,189186,2201
0400000US09,09,Connecticut,3580709,,1743795,1891,75717,974,53811,895,28771,2679,23964,2692,64368,3261,110102,942,104732,1140
0400000US10,10,Delaware,907135,,439918,939,18191,725,13470,884,6471,1412,5613,1282,20249,1818,29246,754,26803,521
0400000US11,11,District of Columbia,617996,,292283,485,8535,322,10414,1582,7319,1362,4859,1333,15459,1836,33725,73,28740,57
0400000US12,12,Florida,19057542,,9321149,7263,365346,3485,264437,5427,153504,8358,137604,7906,368749,8689,603502,4881,570227,4893
0400000US13,13,Georgia,9815210,,4808996,7576,211635,5120,160546,5590,80648,5653,78633,6528,203261,8075,324113,5115,329137,5103
0400000US15,15,Hawaii,1374810,,688600,1358,24910,771,16216,653,10514,1706,11069,1727,33175,2000,54030,1150,45993,932
0400000US16,16,Idaho,1584985,,794914,2358,34405,1062,24272,1808,13134,2256,9990,1738,33596,2827,53396,1525,53326,1660
0400000US17,17,Illinois,12869259,,6309308,4694,277885,1776,193672,2774,91966,4284,95724,4350,259694,6158,453173,2687,439822,2590
0400000US18,18,Indiana,6516922,,3206430,4000,142480,2388,103383,2857,47874,3460,46447,3568,140197,5048,208592,2251,211963,2696
0400000US19,19,Iowa,3062309,,1512251,2950,62132,1241,49401,1869,22017,2243,23356,2454,63909,3542,99871,1926,96697,1520
0400000US20,20,Kansas,2871238,,1423188,2574,61781,2118,44434,2300,20805,2375,24385,2759,63602,3520,98373,1990,91987,1435
0400000US21,21,Kentucky,4369356,,2143745,4175,90748,1804,62299,2267,33216,2689,31989,3062,88171,4252,139032,2019,142013,1649
0400000US22,22,Louisiana,4574836,,2236117,4028,95154,2099,71337,3339,34498,3409,36344,3492,99700,3912,161296,2773,151935,2674
0400000US23,23,Maine,1328188,,651076,1884,25563,626,18781,1048,11165,1310,7542,1093,21949,1507,36592,646,35721,642
0400000US24,24,Maryland,5828289,,2820212,3160,122063,1579,86057,2548,41439,3686,44359,3479,118358,3965,197531,2220,186644,2067
0400000US25,25,Massachusetts,6587536,,3187794,2018,131753,1429,101609,1546,55056,3827,50980,3147,131551,4640,221953,1429,203226,1697
