"SAGDP2N Gross domestic product (GDP) by state 1/"
"Gross domestic product (GDP) by state: All industry total (Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"29000","Missouri",163151.9,169368.7,177360.5,187296.8,191199.0,196597.6,204009.5,214218.1,223497.1,231771.5,240158.8,250581.1,251780.0,258544.1,260093.5,268761.5,277851.1,284729.4,294750.3,295960.5,303763.0
"30000","Montana",19307.1,20444.9,20829.9,21885.2,22851.7,23880.5,25637.6,27939.2,30529.7,32933.3,36074.1,36862.5,35983.9,38054.6,40579.3,42005.8,43141.0,44529.2,46100.7,45595.5,47079.0
"31000","Nebraska",49886.0,51829.3,53689.3,56503.7,59467.0,61604.4,66415.6,70288.8,73959.0,78150.0,83122.8,85200.6,86830.3,91812.8,99613.4,102269.0,107604.3,111330.7,115269.6,116283.1,119587.5
"32000","Nevada",60593.4,65315.0,71534.9,76627.1,80426.6,84733.5,90778.8,104420.6,117856.1,127575.7,131599.8,129372.4,121109.5,123598.1,126657.1,128043.0,130621.4,135026.5,144378.9,149739.6,158302.1
"33000","New Hampshire",38214.9,40557.8,41880.0,45225.5,46629.7,48678.5,51378.4,54126.7,56352.1,59411.6,60732.7,60918.7,61937.4,64151.6,65430.5,67689.2,70181.9,72368.7,75892.9,78418.2,81649.7
"34000","New Jersey",307895.7,319946.2,336649.9,362006.9,373755.6,388337.7,405198.5,422889.1,440773.8,464458.9,480539.0,495121.8,486512.8,495149.0,499114.9,519745.8,533686.7,546831.5,569391.3,582070.9,602069.0
"35000","New Mexico",52511.1,50682.3,53092.8,55232.9,55986.2,58055.5,62895.9,69740.7,73684.2,77426.1,80572.8,83724.2,82017.4,83989.2,86625.0,87601.6,88411.2,92495.9,90849.4,90880.0,94210.7
"36000","New York",718322.5,745223.7,793721.1,838660.3,877149.3,886792.7,905280.6,955192.0,1015046.3,1071393.1,1108896.0,1099234.4,1152812.1,1213946.9,1236061.4,1322447.9,1355581.4,1427812.7,1488200.7,1540969.7,1606601.3
"37000","North Carolina",233924.3,245907.3,264063.5,275694.2,288683.5,298110.0,309318.2,328037.6,352394.5,383522.3,396347.6,413363.3,406477.4,415206.4,427205.6,439571.0,455521.6,475227.2,503467.3,518384.0,540496.6
"38000","North Dakota",15730.3,16792.7,16983.7,17976.1,18919.6,20209.0,22077.4,23167.8,24417.3,26120.0,28679.7,31722.1,32002.5,35426.3,41179.2,51345.1,53881.7,58547.4,54932.7,51099.2,52526.6
"39000","Ohio",343467.2,361629.1,376034.8,391137.8,395622.5,411967.0,424915.5,445541.1,465809.3,477180.4,490965.0,495742.6,480322.0,497208.2,525388.4,540819.3,561045.5,593030.0,609633.9,620931.2,645746.9
"40000","Oklahoma",79096.0,81209.1,84062.9,90792.7,96767.0,99163.0,105243.3,113148.7,124563.3,137083.6,144893.3,159660.0,145736.4,152911.4,165035.6,173483.7,182618.4,195689.0,185460.5,178969.9,188631.7
"41000","Oregon",100888.6,105111.5,107546.3,117258.3,117274.7,121229.5,127211.6,136238.5,143662.6,155153.3,161512.0,165189.1,160640.7,163827.6,170621.3,174493.1,179382.7,189344.3,203173.3,215336.1,227154.5
"42000","Pennsylvania",356146.1,372738.5,389715.7,407652.8,424965.2,436985.5,455106.8,481738.9,505584.6,526396.3,560753.4,582240.2,577379.8,599312.8,618987.7,641317.3,663900.8,690675.4,710040.5,724668.3,756268.5
"44000","Rhode Island",28929.9,30719.9,32295.5,34516.4,35992.1,38132.1,40272.8,43245.6,45162.4,47711.8,47845.6,47107.8,47901.4,49571.8,50175.9,51642.0,53209.9,54573.3,56843.8,57860.0,59305.7
"45000","South Carolina",97393.0,103642.6,110251.8,115246.8,119301.4,124160.1,130337.4,135160.1,142616.6,150659.1,159362.5,161804.7,159835.6,163856.8,170087.2,175374.8,183014.9,191967.4,203920.5,212460.2,221689.6
"46000","South Dakota",19000.0,20184.7,21050.8,22690.7,23512.8,26337.5,27445.0,29628.9,30659.4,31898.6,34701.6,36668.5,36193.1,37484.4,41541.5,43444.6,44814.9,46057.0,47778.2,48492.9,49813.1
"47000","Tennessee",154412.9,167308.4,175819.8,181629.5,185774.7,195289.2,203833.7,218020.6,228099.4,240193.9,244252.4,251609.0,250544.4,255935.8,267659.1,283721.8,292803.9,304150.4,322893.1,334618.1,349569.2
"48000","Texas",610256.5,645696.9,681335.4,738871.0,773006.7,787257.8,829764.4,906321.0,986401.3,1085294.9,1178583.1,1237394.9,1163401.3,1237196.8,1331220.6,1411378.7,1502249.8,1565390.2,1568641.9,1565698.8,1645135.9
"49000","Utah",57699.7,62291.4,66022.6,70291.8,73226.0,75998.8,79149.1,85701.9,94194.9,106124.2,114652.7,115985.4,113332.9,117960.5,124539.4,128721.0,134252.1,141342.9,149576.7,157474.7,164917.0
"50000","Vermont",15415.0,16073.1,17159.3,18311.9,19274.1,20163.3,21130.1,22666.0,23509.3,24309.8,24696.8,25678.0,25867.8,27108.4,28135.1,28887.4,29098.8,29714.4,30672.9,31552.2,32545.2
