REGION,DIVISION,STATE,NAME,SEX,ORIGIN,RACE,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,CENSUS2010POP,POPESTIMATE2010
0,0,0,United States,1,2,6,242114,250249,284938,321466,359450,399865,443373,489829,538826,590958,644129,686573,690797
0,0,0,United States,2,0,0,143368472,143719004,145077463,146394634,147679036,148977286,150319521,151732647,153166353,154604015,155964075,156964212,157241696
0,0,0,United States,2,0,1,115628370,115819594,116515056,117177468,117819218,118455593,119103091,119794572,120488360,121171882,121792109,122238141,122394968
0,0,0,United States,2,0,2,18733033,18787192,19013351,19229855,19434349,19653829,19882081,20123789,20374894,20626043,20868282,21045595,21096244
0,0,0,United States,2,0,3,1330889,1340899,1382965,1426032,1470918,1517958,1568355,1621347,1677761,1738790,1801353,1849811,1856695
0,0,0,United States,2,0,4,5461425,5523282,5777829,6029641,6274263,6513599,6766622,7021639,7272048,7523155,7762568,7941039,7982186
0,0,0,United States,2,0,5,227331,229665,239484,249256,258956,269056,279639,290404,301381,312503,323524,331721,333167
0,0,0,United States,2,0,6,1987424,2018372,2148778,2282382,2421332,2567251,2719733,2880896,3051909,3231642,3416239,3557905,3578436
0,0,0,United States,2,1,0,126224223,126399163,127018480,127595059,128147948,128711725,129283967,129893210,130513540,131133136,131700630,132105418,132225558
0,0,0,United States,2,1,1,99879722,99923222,99997363,100039273,100077012,100116610,100147850,100198545,100249770,100294923,100307037,100301335,100317791
0,0,0,United States,2,1,2,18019983,18065161,18253520,18433029,18599224,18775443,18952312,19139343,19335532,19531053,19718576,19853611,19896288
0,0,0,United States,2,1,3,1061197,1063415,1072618,1081578,1089944,1098580,1107466,1116172,1125065,1133900,1141839,1147502,1151013
0,0,0,United States,2,1,4,5343737,5403284,5648205,5889918,6123659,6351039,6590707,6831834,7067419,7302948,7526044,7691693,7731607
0,0,0,United States,2,1,5,181484,182995,189475,195931,202190,208599,215114,221794,228451,235203,241715,246518,247576
0,0,0,United States,2,1,6,1738100,1761086,1857299,1955330,2055919,2161454,2270518,2385522,2507303,2635109,2765419,2864759,2881283
0,0,0,United States,2,2,0,17144249,17319841,18058983,18799575,19531088,20265561,21035554,21839437,22652813,23470879,24263445,24858794,25016138
0,0,0,United States,2,2,1,15748648,15896372,16517693,17138195,17742206,18338983,18955241,19596027,20238590,20876959,21485072,21936806,22077177
0,0,0,United States,2,2,2,713050,722031,759831,796826,835125,878386,929769,984446,1039362,1094990,1149706,1191984,1199956
0,0,0,United States,2,2,3,269692,277484,310347,344454,380974,419378,460889,505175,552696,604890,659514,702309,705682
0,0,0,United States,2,2,4,117688,119998,129624,139723,150604,162560,175915,189805,204629,220207,236524,249346,250579
0,0,0,United States,2,2,5,45847,46670,50009,53325,56766,60457,64525,68610,72930,77300,81809,85203,85591
0,0,0,United States,2,2,6,249324,257286,291479,327052,365413,405797,449215,495374,544606,596533,650820,693146,697153
3,6,01,Alabama,0,0,0,4447207,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4779736,4785298
3,6,01,Alabama,0,0,1,3195561,3196875,3201387,3204279,3215079,3227772,3249443,3283056,3308005,3332141,3353244,3362877,3364465
3,6,01,Alabama,0,0,2,1158988,1161454,1167403,1171672,1178398,1186375,1197062,1215481,1227620,1241613,1252307,1259224,1262341
3,6,01,Alabama,0,0,3,22967,23262,24084,24966,25920,26755,27606,28666,29666,30722,31825,32903,33008
3,6,01,Alabama,0,0,4,32142,32544,33971,35810,37929,40712,43406,46030,48454,50683,53747,55240,55510
3,6,01,Alabama,0,0,5,1534,1608,1963,2272,2625,2983,3290,3710,3996,4443,4796,5208,5202
3,6,01,Alabama,0,0,6,36015,36430,38826,41090,43540,46132,48998,52038,55099,58604,62019,64284,64772
3,6,01,Alabama,0,1,0,4371386,4375157,4381912,4385910,4400019,4417445,4444983,4491139,4522188,4554497,4581420,4594134,4598451
3,6,01,Alabama,0,1,1,3130563,3131028,3128439,3124451,3127696,3132265,3144397,3167057,3181159,3194543,3205366,3207965,3208616
3,6,01,Alabama,0,1,2,1151729,1154109,1159749,1163654,1169990,1177537,1187604,1205350,1216925,1230092,1240016,1246251,1249297
3,6,01,Alabama,0,1,3,21791,21956,22283,22649,23102,23448,23799,24303,24786,25214,25569,26039,26110
3,6,01,Alabama,0,1,4,31586,31978,33290,35066,37085,39733,42362,44890,47144,49371,52244,53575,53841
3,6,01,Alabama,0,1,5,1078,1083,1161,1233,1326,1424,1469,1618,1659,1802,1854,2023,2023
3,6,01,Alabama,0,1,6,34639,35003,36990,38857,40820,43038,45352,47921,50515,53475,56371,58281,58564
3,6,01,Alabama,0,2,0,75821,77016,85722,94179,103472,113284,124822,137842,150652,163709,176518,185602,186847
3,6,01,Alabama,0,2,1,64998,65847,72948,79828,87383,95507,105046,115999,126846,137598,147878,154912,155849
3,6,01,Alabama,0,2,2,7259,7345,7654,8018,8408,8838,9458,10131,10695,11521,12291,12973,13044
3,6,01,Alabama,0,2,3,1176,1306,1801,2317,2818,3307,3807,4363,4880,5508,6256,6864,6898
3,6,01,Alabama,0,2,4,556,566,681,744,844,979,1044,1140,1310,1312,1503,1665,1669
3,6,01,Alabama,0,2,5,456,525,802,1039,1299,1559,1821,2092,2337,2641,2942,3185,3179
3,6,01,Alabama,0,2,6,1376,1427,1836,2233,2720,3094,3646,4117,4584,5129,5648,6003,6208
3,6,01,Alabama,1,0,0,2146560,2149338,2158138,2165719,2179422,2192872,2213382,2243501,2265565,2287949,2309779,2320188,2323317
3,6,01,Alabama,1,0,1,1564045,1564949,1568320,1570843,1577854,1584510,1596161,1613829,1627055,1639481,1651374,1655851,1656912
