State,State Code,Year,Year Code,Month,Month Code,Deaths
Nevada,32,2014,2014,"Feb., 2014",2014/02,41
Nevada,32,2014,2014,"Mar., 2014",2014/03,42
Nevada,32,2014,2014,"Apr., 2014",2014/04,48
Nevada,32,2014,2014,"May, 2014",2014/05,52
Nevada,32,2014,2014,"Jun., 2014",2014/06,43
Nevada,32,2014,2014,"Jul., 2014",2014/07,44
Nevada,32,2014,2014,"Aug., 2014",2014/08,53
Nevada,32,2014,2014,"Sep., 2014",2014/09,61
Nevada,32,2014,2014,"Oct., 2014",2014/10,55
Nevada,32,2014,2014,"Nov., 2014",2014/11,44
Nevada,32,2014,2014,"Dec., 2014",2014/12,44
Nevada,32,2015,2015,"Jan., 2015",2015/01,41
Nevada,32,2015,2015,"Feb., 2015",2015/02,49
Nevada,32,2015,2015,"Mar., 2015",2015/03,57
Nevada,32,2015,2015,"Apr., 2015",2015/04,45
Nevada,32,2015,2015,"May, 2015",2015/05,60
Nevada,32,2015,2015,"Jun., 2015",2015/06,34
Nevada,32,2015,2015,"Jul., 2015",2015/07,46
Nevada,32,2015,2015,"Aug., 2015",2015/08,48
Nevada,32,2015,2015,"Sep., 2015",2015/09,51
Nevada,32,2015,2015,"Oct., 2015",2015/10,48
Nevada,32,2015,2015,"Nov., 2015",2015/11,49
Nevada,32,2015,2015,"Dec., 2015",2015/12,32
Nevada,32,2016,2016,"Jan., 2016",2016/01,40
Nevada,32,2016,2016,"Feb., 2016",2016/02,65
Nevada,32,2016,2016,"Mar., 2016",2016/03,47
Nevada,32,2016,2016,"Apr., 2016",2016/04,59
Nevada,32,2016,2016,"May, 2016",2016/05,54
Nevada,32,2016,2016,"Jun., 2016",2016/06,57
Nevada,32,2016,2016,"Jul., 2016",2016/07,70
Nevada,32,2016,2016,"Aug., 2016",2016/08,59
Nevada,32,2016,2016,"Sep., 2016",2016/09,47
Nevada,32,2016,2016,"Oct., 2016",2016/10,55
Nevada,32,2016,2016,"Nov., 2016",2016/11,50
Nevada,32,2016,2016,"Dec., 2016",2016/12,50
New Hampshire,33,1999,1999,"Jan., 1999",1999/01,15
