NAME,AGEGRP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,CENSUS2010POP,POPESTIMATE2010
New Hampshire,5,34351,34529,35946,37754,39232,40472,41796,42539,42547,42705,42935,43098,43210
New Hampshire,6,35428,35129,34023,33298,33298,32963,33381,34265,35134,35845,36387,36938,37120
New Hampshire,7,44001,44047,44072,43619,42653,41134,39555,37705,36321,35669,35196,35301,35556
New Jersey,4,271035,271931,277490,281970,287520,294517,302449,307243,310809,311834,311238,309344,307953
New Jersey,5,244640,245959,250093,254386,258914,261571,263232,266241,267569,270734,275079,279430,280301
New Jersey,6,272884,271417,264382,263556,264481,265885,268964,269435,272156,276022,277812,277775,278418
New Jersey,7,319040,318943,315197,310316,303131,294642,284437,275549,271929,272457,273201,275366,276731
New Mexico,4,74743,74869,75784,76775,76985,77131,77608,77528,77366,77431,77162,76792,76640
New Mexico,5,61351,61497,64657,67750,71108,73820,74508,74201,73906,72706,72240,72974,73301
New Mexico,6,57659,57230,56260,57170,58904,60924,63751,66335,68247,69093,71112,71419,71586
New Mexico,7,59156,59019,58350,58580,58594,58635,58308,58426,59397,60619,62000,64586,64955
New York,4,661630,662667,667395,673732,679604,687847,699618,707054,711166,712984,707376,699548,696143
New York,5,623038,626623,643154,650280,660134,661870,666809,669663,679502,688412,700761,712002,713790
New York,6,640351,637067,621906,622049,629323,637444,645670,653645,658940,669894,676207,680203,681570
New York,7,715357,715113,708153,694877,676214,651922,623130,604307,602755,610243,621516,629759,632878
North Carolina,4,277442,279267,288136,295252,297573,304756,314065,323050,331755,337128,340552,338271,337070
North Carolina,5,302923,309600,306713,306187,294625,306350,311112,324687,317865,327441,331513,336648,338248
North Carolina,6,307334,306814,296379,288063,280676,279815,278324,284091,289065,298177,306341,311499,313180
North Carolina,7,309287,310219,316738,319874,318090,316580,310399,306020,302120,305132,303136,304807,307394
North Dakota,4,27759,27841,28729,28137,27670,27348,26851,26081,25773,25206,24921,24626,24582
North Dakota,5,26831,26909,27404,28982,30553,32526,32906,33896,32371,32104,31348,31530,31690
North Dakota,6,20270,20030,19082,18637,18522,19013,19194,20307,22433,23826,25363,26451,26639
North Dakota,7,19535,19489,19458,19289,19407,19633,19767,19398,19556,19727,20704,21601,21774
Ohio,4,416071,417721,417110,415939,418017,421022,425070,428083,430615,430141,426379,420975,418350
Ohio,5,363654,366368,377389,386353,391023,388755,385851,383674,379703,379934,382000,384202,384963
Ohio,6,366457,363075,348980,344326,347089,353336,360587,366770,370148,368060,362781,357837,359101
Ohio,7,390694,389687,388719,384956,377207,365393,352679,339073,332864,334152,339422,344087,346190
Oklahoma,4,139166,139566,139777,138359,135775,134842,134714,135116,136003,136462,136433,135644,135135
Oklahoma,5,127789,128125,133448,138429,141262,144571,143780,142580,141293,137983,137525,137934,138486
Oklahoma,6,116957,115920,112913,112394,111321,113930,116299,121667,127434,131188,134296,135908,136642
Oklahoma,7,112510,112358,114184,115698,115466,115360,114798,113590,114077,115727,119882,122914,123982
Oregon,4,125434,126076,126823,127326,127266,127880,129985,131666,132742,133296,132161,130677,130167
Oregon,5,118097,118907,121726,125354,127085,126742,127241,127483,127447,127455,128416,128461,128902
Oregon,6,121027,120417,118527,118544,119324,119589,121377,124890,129324,131481,133645,133636,134204
Oregon,7,122243,122440,125849,128111,128244,126607,124753,123981,124174,126866,129682,131139,132033
Pennsylvania,4,433617,434900,439182,444023,449050,455326,463247,469420,471210,471328,468273,462465,460011
Pennsylvania,5,372870,375323,384888,394990,405741,410559,414143,420656,424621,428079,435701,441886,442937
Pennsylvania,6,366292,362962,348769,345039,349818,358027,367024,376328,382863,388921,391788,392569,393992
Pennsylvania,7,410483,409330,405379,400356,391765,379131,365769,353826,349519,351714,358981,364681,366931
Rhode Island,4,38197,38259,38658,39425,39861,40892,41182,41781,41494,41419,41160,40157,39981
Rhode Island,5,35596,35823,37072,38362,38465,39300,39762,40074,40152,40472,40865,41229,41330
Rhode Island,6,31791,31675,31062,31048,31989,32705,32659,33027,33405,33217,32906,33126,33243
Rhode Island,7,36819,36739,35968,35663,34679,33653,32079,30526,29633,29929,30115,30056,30247
South Carolina,4,150790,152232,152099,153637,154364,157923,162296,166058,168653,170517,170407,168250,167538
South Carolina,5,143231,144477,148172,150042,150472,154844,155718,157581,161091,162531,165687,168546,169320
South Carolina,6,138125,137392,132862,132402,132740,135689,138988,144176,146362,150248,151354,151620,152430
South Carolina,7,140600,140541,141306,142489,141924,141177,138182,135702,136281,138033,140072,142881,144102
South Dakota,4,32174,32329,32782,32209,31858,31671,31114,30635,30516,30205,29994,29682,29613
South Dakota,5,27091,27233,27663,28866,30097,30825,31109,31318,30074,29956,29897,29663,29812
South Dakota,6,23006,22832,22435,22502,22701,23492,24163,25033,26555,27459,28546,28958,29200
South Dakota,7,23460,23467,23375,23213,23051,22852,22869,22779,23376,23747,24940,25625,25862
Tennessee,4,202550,203517,202363,202146,203071,207023,212235,217209,221317,223585,223787,223002,221938
Tennessee,5,194698,196217,203343,206097,205513,209098,209466,205209,208913,206187,211011,212905,213732
Tennessee,6,203103,201647,194207,190384,189477,193625,198535,204431,209620,208280,208945,206997,208045
Tennessee,7,205960,205908,207533,208299,207258,205829,201643,196637,195450,195781,198381,201529,203113
Texas,4,847475,852451,863975,872355,877810,887634,900604,921405,937530,951822,965143,968686,968429
Texas,5,794805,800392,831084,862352,881073,895229,903404,912078,912078,915520,923165,932353,938242
Texas,6,810943,808832,802799,801781,800789,812073,831599,859198,886786,914368,931677,938966,943090
Texas,7,798033,800108,815703,830843,834467,835692,832317,832898,836572,846513,865169,882887,889465
Utah,4,107917,108842,108169,106582,104955,104268,105004,106541,108436,110135,111091,111727,111605
Utah,5,112449,113088,118151,122893,124143,122300,122423,120142,117985,115678,114404,113607,114282
Utah,6,92731,92550,91539,92798,95228,99196,100713,108343,113831,116669,116895,118426,119323
Utah,7,76852,77313,80716,83719,86241,89651,93420,93923,98169,103128,109108,110492,111628
Vermont,4,23543,23646,24343,24850,25094,25209,25321,25371,25055,24697,24098,23659,23591
Vermont,5,19387,19485,20046,20709,21412,21986,22531,22771,22581,22571,22768,22682,22769
Vermont,6,17017,16845,16023,15775,15670,15614,15821,16150,16763,17036,17319,17713,17839
Vermont,7,19723,19706,19571,19510,19113,18542,17818,17065,16433,16504,16634,16908,16991
Virginia,4,248359,249411,256738,261221,263946,268943,274179,278886,281219,283137,282847,281502,280630
Virginia,5,249404,252940,259845,263575,270869,277397,285461,292223,292562,291453,292667,294041,295368
Virginia,6,251495,250288,243538,239586,238575,242953,248826,256926,265167,274395,280297,283970,285487
Virginia,7,270036,270236,272090,271097,268076,264937,260074,255201,251687,252218,256368,261654,263792
Washington,4,220419,221655,224081,224878,225741,228095,231427,235011,238146,240297,239910,237577,236925
Washington,5,200807,202350,214348,222381,226944,226435,231092,234643,232404,236926,239913,238131,239120
Washington,6,206796,205384,201193,199796,200538,203954,210173,221000,227503,238717,245262,245014,246218
Washington,7,223413,223666,227676,228725,224191,219129,213407,211118,211917,217426,225092,229863,231610
West Virginia,4,64534,64677,63148,62523,61837,61710,61691,61866,62113,62299,62268,61859,61532
West Virginia,5,60693,60935,62501,62991,63781,62740,61916,60818,60285,59259,59469,59925,60093
West Virginia,6,56939,56283,53840,53657,53625,54209,55134,56580,56052,56254,55823,55073,55340
West Virginia,7,57539,57348,57486,58038,58286,57504,57048,55103,55255,55058,56158,56821,57238
Wisconsin,4,208780,209717,212414,213333,212881,213436,213692,213226,212148,210767,207817,204803,203777
Wisconsin,5,182375,183404,187673,193737,199614,201423,203073,203355,201142,198389,197808,196897,197401
Wisconsin,6,170015,168886,164038,162627,164088,167627,170588,175463,181565,186775,188025,189349,190105
Wisconsin,7,188414,188558,187839,186003,182907,179232,175883,171295,170060,171790,175760,178120,179312
Wyoming,4,21764,21829,21822,21318,20957,20610,20299,20299,20172,20326,20289,19626,19582
Wyoming,5,17517,17603,18286,19571,20482,21362,21594,21759,21621,21729,21687,21315,21427
Wyoming,6,15613,15447,14956,14987,14994,15549,16259,17467,19178,20047,21794,21752,21892
Wyoming,7,15184,15172,15388,15710,15763,15854,15922,15853,16392,16993,18222,18919,19097
