state,year,total_pop,young_males (15-34 yrs),ethanol_all_drinks_gallons_per_capita,total_gdp (Millions of current dollars) 
Nebraska,1999,1704764,243322,2.19,53689.3
Nevada,1999,1934718,285780,3.74,71534.9
New Hampshire,1999,1222014,157453,4.06,41880
New Jersey,1999,8359592,1112559,2.18,336649.9
New Mexico,1999,1808082,252862,2.36,53092.8
New York,1999,18882725,2650606,1.85,793721.1
North Carolina,1999,7949361,1187917,1.96,264063.5
North Dakota,1999,644259,95161,2.41,16983.7
Ohio,1999,11335454,1545285,1.9,376034.8
Oklahoma,1999,3437147,495951,1.68,84062.9
Oregon,1999,3393941,481556,2.27,107546.3
Pennsylvania,1999,12263805,1593232,1.92,389715.7
Rhode Island,1999,1040402,142271,2.28,32295.5
South Carolina,1999,3974682,571779,2.41,110251.8
South Dakota,1999,750412,105186,2.27,21050.8
Tennessee,1999,5638706,804038,1.83,175819.8
Texas,1999,20558220,3208436,2.23,681335.4
Utah,1999,2203482,384345,1.25,66022.6
Vermont,1999,604683,79751,2.42,17159.3
Virginia,1999,7000174,1015030,1.97,249798.3
Washington,1999,5842564,844766,2.14,230554.9
West Virginia,1999,1811799,242202,1.69,41831
Wisconsin,1999,5332666,748854,2.72,172258.1
Wyoming,1999,491780,69736,2.47,15710.9
Alabama,2000,4447100,596244.18,1.88,119242.4
Alaska,2000,626932,92780.303,2.68,26778.3
Arizona,2000,5130632,735150.253,2.5,164611.6
Arkansas,2000,2673400,357805.504,1.74,68770
California,2000,33871648,5010496.524,2.24,1366561
Colorado,2000,4301261,643861.512,2.6,180605.5
Connecticut,2000,3405565,414225.592,2.18,165898.7
Delaware,2000,783600,105042.582,2.89,43389.4
District of Columbia,2000,572059,90173.892,3.65,61095.5
Florida,2000,15982378,1964920.776,2.56,489488.1
Georgia,2000,8186453,1223962.668,2.16,307611.6
Hawaii,2000,1211537,168456.14,2.32,41500.2
Idaho,2000,1293953,187516.785,2.3,37992.8
Illinois,2000,12419293,1742694.31,2.24,487212.7
Indiana,2000,6080485,838065.62,1.98,203052.9
Iowa,2000,2926324,389433.213,1.98,93028.6
Kansas,2000,2688418,370074.172,1.82,85853.2
Kentucky,2000,4041769,557530.416,1.74,114293.2
Louisiana,2000,4468976,625656.152,2.44,132809.9
Maine,2000,1274923,154261.146,2.23,36841
Maryland,2000,5296486,685265.427,2.09,192106.3
Massachusetts,2000,6349097,841959.528,2.55,289926.5
Michigan,2000,9938444,1335679.73,2.13,351572.7
Minnesota,2000,4919479,678141.585,2.37,189964.8
Mississippi,2000,2844658,399891.639,2.14,65645.9
Missouri,2000,5595211,739462.122,2.25,187296.8
Montana,2000,902195,116018.064,2.54,21885.2
Nebraska,2000,1711263,235906.909,2.23,56503.7
Nevada,2000,1998257,286967.074,3.67,76627.1
New Hampshire,2000,1235786,155233.38,4.06,45225.5
New Jersey,2000,8414350,1064252.475,2.2,362006.9
New Mexico,2000,1819046,246557.436,2.38,55232.9
New York,2000,18976457,2549383.314,1.88,838660.3
North Carolina,2000,8049313,1142118.46,1.98,275694.2
North Dakota,2000,642200,90322.992,2.4,17976.1
Ohio,2000,11353140,1489925.34,1.91,391137.8
Oklahoma,2000,3450654,475378.835,1.69,90792.7
Oregon,2000,3421399,468981.888,2.28,117258.3
Pennsylvania,2000,12281054,1525100.514,1.96,407652.8
Rhode Island,2000,1048319,138040.32,2.31,34516.4
South Carolina,2000,4012012,553030.092,2.43,115246.8
South Dakota,2000,754844,102313.888,2.3,22690.7
Tennessee,2000,5689283,777948.41,1.85,181629.5
Texas,2000,20851820,3143508.624,2.25,738871
Utah,2000,2233169,385015.494,1.29,70291.8
Vermont,2000,608827,77512.61,2.43,18311.9
Virginia,2000,7078515,980785.96,1.97,266886.4
Washington,2000,5894121,826322.934,2.18,237831.8
West Virginia,2000,1808344,230743.566,1.7,42606.9
Wisconsin,2000,5363675,726503.57,2.76,180539
Wyoming,2000,493782,68011.636,2.5,17205.4
Alabama,2001,4467634,612272,1.86,122449.3
Alaska,2001,633714,95710,2.67,28420.4
Arizona,2001,5273477,786064,2.5,171474.2
Arkansas,2001,2691571,372252,1.74,70601.4
California,2001,34479458,5292939,2.2,1384111.2
Colorado,2001,4425687,692185,2.78,187571.9
Connecticut,2001,3432835,428318,2.19,173127.2
Delaware,2001,795699,107999,2.94,46448.3
District of Columbia,2001,574504,91376,3.61,65565.9
Florida,2001,16356966,2089907,2.54,516689.6
Georgia,2001,8377038,1288923,2.11,318753
Hawaii,2001,1225948,179176,2.28,42894.3
Idaho,2001,1319962,195555,2.3,37384.1
Illinois,2001,12488445,1812042,2.28,502260.3
Indiana,2001,6127760,869383,1.96,204581.1
Iowa,2001,2931997,403532,1.99,94770.8
Kansas,2001,2702162,386932,1.8,88380.4
Kentucky,2001,4068132,576932,1.63,117430.8
Louisiana,2001,4477875,639772,2.41,137845.1
Maine,2001,1285692,157841,2.28,38500.8
Maryland,2001,5374691,706835,2.11,205449.8
Massachusetts,2001,6397634,867724,2.44,296834.1
Michigan,2001,9991120,1373454,2.09,348529
Minnesota,2001,4982796,703493,2.39,194646.5
