GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,
0400000US01,1,Alabama,4822023,,2336291,3772,97673,1876,73658,3849,36883,3506,40183,3364,96152,4421,148583,2737,145284,2631,638416
0400000US02,2,Alaska,731449,,381094,1702,15899,926,12008,1526,5837,1302,7258,1540,19766,2132,29302,1352,26971,1324,117041
0400000US04,4,Arizona,6553255,,3260687,2638,138579,1072,93580,1950,52451,3526,51576,4428,142091,5137,228596,1745,222080,2019,928953
0400000US05,5,Arkansas,2949131,,1449265,3205,59618,1819,41556,2641,22402,2473,23326,2786,59553,3443,94436,2234,94135,2413,395026
0400000US06,6,California,38041430,,18917773,4374,825862,2728,569900,2784,316738,8989,318160,10755,878262,11552,1442237,2776,1370890,2745,5722049
0400000US08,8,Colorado,5187582,,2601370,3232,100405,1436,77113,2421,38793,3188,39785,2910,109601,4058,196863,2087,197272,2186,759832
0400000US09,9,Connecticut,3590347,,1749806,1927,75376,874,55962,985,24703,2525,25448,2109,69139,2873,110732,874,105644,962,467004
0400000US10,10,Delaware,917092,,444691,881,17597,430,13530,795,8158,1743,7982,1716,17374,1778,29294,780,27464,449,121399
0400000US11,11,District of Columbia,632323,,299036,318,7946,154,10100,1337,5739,1189,5384,1165,17154,1648,34059,477,30707,4,111089
0400000US12,12,Florida,19317568,,9441001,6373,356110,3188,254907,4107,143952,6292,147989,7776,380164,8572,614564,3618,583912,3240,2481598
0400000US13,13,Georgia,9919945,,4851053,6551,208737,3728,157606,4739,78537,4107,73966,4608,213701,6492,334209,4750,334138,4009,1400894
0400000US15,15,Hawaii,1392313,,701196,1123,24306,744,18467,974,11399,1657,12448,1734,33162,2397,55834,645,50089,833,205705
0400000US16,16,Idaho,1595728,,798712,2934,33691,1510,23423,1467,10959,1443,12547,2052,33157,2486,54757,1815,53371,1329,221905
0400000US17,17,Illinois,12875255,,6316653,4276,273180,1748,187064,2745,94547,4894,96959,4576,261639,5126,451382,2674,443210,2447,1807981
0400000US18,18,Indiana,6537334,,3217145,3678,139823,1884,96725,3121,50538,3474,53804,3708,139268,4553,205266,2133,211453,2209,896877
0400000US19,19,Iowa,3074186,,1524107,3514,62094,1227,44030,1553,28083,2472,25411,2008,63723,2851,99553,1519,98615,1610,421509
0400000US20,20,Kansas,2885905,,1434617,2912,59694,1348,46720,2475,25481,2596,23662,2472,61728,3077,100887,1701,95556,1450,413728
0400000US21,21,Kentucky,4380415,,2154939,3541,88324,1755,61115,2555,35495,2911,37160,3276,84834,4553,137429,2064,144037,1666,588394
0400000US22,22,Louisiana,4601893,,2248888,4274,92842,1939,67600,2692,38399,3287,36266,3749,97492,5384,163595,3077,157481,2814,653675
0400000US23,23,Maine,1329192,,650714,1896,25351,630,19070,886,7655,1158,8760,1397,23150,1715,36475,714,36693,702,157154
0400000US24,24,Maryland,5884563,,2849291,2636,118250,1260,85171,2061,42379,3779,44797,3624,120311,4169,201600,1747,193287,1897,805795
0400000US25,25,Massachusetts,6646144,,3219753,2324,129057,1054,106346,1871,53376,3771,51891,3732,132179,3943,229530,1050,209625,1267,912004
0400000US26,26,Michigan,9883360,,4851429,3886,214197,1732,147065,2353,81784,4265,75683,4348,201102,4192,296755,2173,290251,1996,1306837
0400000US27,27,Minnesota,5379139,,2670741,3022,110629,1270,73611,1400,33252,2872,38671,2887,108094,3881,186416,2008,187559,1924,738232
0400000US28,28,Mississippi,2984926,,1442072,3816,63699,2074,52996,3854,27281,2921,24208,2863,58932,3830,87502,2826,93934,3518,408552
0400000US29,29,Missouri,6021988,,2953591,4454,122621,2215,88830,2708,48707,3930,43632,3212,120218,4718,199512,2386,194863,2222,818383
0400000US30,30,Montana,1005141,,503458,1842,19195,623,14289,1217,8215,1478,7715,1550,20574,1905,32185,1048,31319,738,133492
0400000US31,31,Nebraska,1855525,,923099,1803,38266,806,26355,1461,13553,1591,12557,1374,42402,2287,63866,1172,63250,1478,260249
0400000US32,32,Nevada,2758931,,1391864,1827,57020,933,35190,943,19342,2077,20787,2301,54902,2640,101062,1204,100610,1192,388913
0400000US33,33,New Hampshire,1320718,,648288,1796,26933,1034,18972,806,9164,1407,9933,1811,24428,1929,39209,1042,35689,863,164328
0400000US34,34,New Jersey,8864590,,4321436,2448,183583,1613,116887,1922,60316,3743,62216,4156,169531,5282,282826,1531,283124,1431,1158483
0400000US35,35,New Mexico,2085538,,1034877,2603,43534,1760,32445,2018,15413,1920,13844,1684,45703,3058,74687,1949,66203,1964,291829
0400000US36,36,New York,19570261,,9485872,4452,385382,1769,283380,2327,154873,6635,146535,5196,428224,7489,706373,2462,658272,2311,2763039
0400000US37,37,North Carolina,9752073,,4751047,5464,192756,3679,147214,4150,75428,4720,75942,4799,202153,6571,313340,3878,309178,3739,1316011
0400000US38,38,North Dakota,699628,,357591,1433,13072,521,13589,1029,7509,1363,6391,1157,19924,1880,26975,774,25052,894,112512
0400000US39,39,Ohio,11544225,,5642634,4379,241052,2720,167583,2292,85500,4705,84243,4129,226413,5627,359085,1781,353959,2545,1517835
