GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,
0400000US40,40,Oklahoma,3814820,,1889807,2673,76295,1455,56874,1862,29758,2105,32224,2802,82526,2966,133944,1611,130021,1805,541642
0400000US41,41,Oregon,3899353,,1932789,3361,75432,1640,53519,2131,29184,3183,27033,2572,77253,3788,131400,1929,139051,1912,532872
0400000US42,42,Pennsylvania,12763536,,6229333,3651,253402,1998,189524,2404,97943,4899,99942,4582,254408,6324,408188,1990,385009,2386,1688416
0400000US44,44,Rhode Island,1050292,,506835,1355,20480,555,17792,651,10281,1501,8981,1521,23243,1829,33796,599,30239,594,144812
0400000US45,45,South Carolina,4723723,,2295781,4676,89503,2023,75822,3667,42810,3407,40694,2833,93510,4020,149403,2982,143687,2934,635429
0400000US46,46,South Dakota,833354,,417803,1674,16627,933,12880,1398,6485,1031,6821,954,17634,1608,28485,927,29012,970,117944
0400000US47,47,Tennessee,6456243,,3144756,4329,130443,2508,88477,3410,51395,3771,44555,3388,129822,4839,211551,2686,206272,3180,862515
0400000US48,48,Texas,26059203,,12945218,7615,575339,4661,391694,5135,217442,8144,213456,8099,568091,11114,961511,4917,939879,4994,3867412
0400000US49,49,Utah,2855287,,1435028,2086,68160,1046,44467,1528,20720,2341,23336,2649,75973,2924,110949,1689,115308,1361,458913
0400000US50,50,Vermont,626011,,309184,980,11685,250,10877,512,6229,1031,4767,775,12597,1079,18256,598,16928,341,81339
0400000US51,51,Virginia,8185867,,4015045,6243,157048,2386,125452,4144,64960,3923,67540,3987,166614,4647,291796,3045,281999,3565,1155409
0400000US53,53,Washington,6897012,,3441429,2785,134936,1967,94694,2387,50186,3375,51409,3927,149146,4855,251654,2164,242790,2048,974815
0400000US54,54,West Virginia,1855413,,911681,2937,33200,1114,24894,1471,15781,2383,14262,2178,33618,2498,53212,1249,56970,841,231937
0400000US55,55,Wisconsin,5726398,,2842737,3446,117112,1442,84078,1595,42976,3100,38583,3026,115917,3659,185671,1872,188327,2088,772664
0400000US56,56,Wyoming,576412,,292736,1854,10748,1052,8188,1185,4961,1173,3749,1031,13808,1695,21833,1344,20646,923,83933
0400000US72,72,Puerto Rico,3667084,,1757273,2739,83047,1976,59087,2192,30186,2258,28553,2599,77792,3313,108161,1767,113251,1485,500077
